;;срочность;Результат;;;;;;;;;;;;;;;;;;;;;;
1;Отцентровать изображение раздела каталога по ширине: http://joxi.ru/8AngPyDCyX8Y8r;;исправлено;;;;;;;;;;;;;;;;;;;;;;
2;"Буквы в кнопке ""вход"" сделать заглавными. При наведении курсора на кнопку ""ВХОД"" нужно выделение цветом чтобы пользователю было понятно что он на нее навел, можно например сделать замену на желтый цвет по (цвет из логотипа): http://joxi.ru/J2bOpLETVBv3xA";;исправлено;;;;;;;;;;;;;;;;;;;;;;
3;Панель ввода пароля и регистрации по центру экрана: http://joxi.ru/Vm6DJWeUv1XBPA;;исправлено;;;;;;;;;;;;;;;;;;;;;;
4;"Шрифт наименованиея столбцов в заголовке сделать церным цветом как у слова ""Выбор"" или";;исправлено;;;;;;;;;;;;;;;;;;;;;;
5;Ширину столбцов списка заказов сделать как у оригинала, они выверены по количеству текста: http://joxi.ru/v295MKeFp9Lz02;;исправлено;;;;;;;;;;;;;;;;;;;;;;
6;Уменьшить шрифт и высоту (в основном высоту) статусов, чтобы не били по глазам. Можно сделать либо как в оригинале, либо меньше: http://joxi.ru/vAWQ7w1hOa63Zm;;исправлено;;;;;;;;;;;;;;;;;;;;;;
7;Первая строка заказа должна быть темной чтобы не сливаться с заголовком как в оригинале: http://joxi.ru/823D7QeU8M54nA Черную полосу надо убрать: http://joxi.ru/Q2K8KMdUv3WpPA;;исправлено;;;;;;;;;;;;;;;;;;;;;;
8;Увеличить немного размер логотипа: http://joxi.ru/5mdXbZpU8P6pDm;;исправлено;;;;;;;;;;;;;;;;;;;;;;
9;В указании кол-ва строк в списке заказов нет необходимости, удаляем: http://joxi.ru/Grq0PN6tGV663A;;исправлено;;;;;;;;;;;;;;;;;;;;;;
10;"Левый края кнопки "" + добавить заказ"" должен быть в одну линию по вертикали с левым краем списка заказов: http://joxi.ru/5mdXbZpU8P6PLm";;исправлено;;;;;;;;;;;;;;;;;;;;;;
11;Переключение между станицами списка заказов ненужно, список просто будет прокручиваться вниз-вверх без страниц, а размер и место нахождение нам будет подсказывать полоса прокрутки: http://joxi.ru/Dr8QgLehMjyYzm;;исправлено;;;;;;;;;;;;;;;;;;;;;;
12;По правому краю: http://joxi.ru/bmoMP7QUykQEWA;;исправлено;;;;;;;;;;;;;;;;;;;;;;
13;"Строка поиска для каталога и списка заказа у нас должна быть в одном месте после вкладки ""каталог"": http://joxi.ru/RmzdPlOTMQOlkA Если мы во вкладке каталог, то поиск работает по каталогу, если в списке заказов, то по списку заказов, тоесть ищет на той странице, на которой находится пользователь.";;исправлено;;;;;;;;;;;;;;;;;;;;;;
14;Эту строку можно чуть увеличить по высоте как у оригинала, чтобы кнопки и вкладки так не прижимались к верху: http://joxi.ru/4AkNPxwHkbR7J2;;исправлено;;;;;;;;;;;;;;;;;;;;;;
15;"При наведении курсора на кнопку ""+ добавить заказ"" сделать выделение цветом как у оригинала:";;исправлено;;;;;;;;;;;;;;;;;;;;;;
16;"Нет столбцов ""сумма"" и ""сообщ./почта"": http://joxi.ru/BA0BkDeTp94Yvm";;исправлено;;;;;;;;;;;;;;;;;;;;;;
17;Три черточки сделать больше по размеру и отчентровать по высоте по отношению к номеру Пользователя: http://joxi.ru/LmGk6NQclKnOLmэ;Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
18;"""пн-сб"" сделать серым как в оригинале: http://joxi.ru/Dr8QgLehMjygwm";;исправлено;;;;;;;;;;;;;;;;;;;;;;
19;Посмотреть баг, иногда возникает - заголовок сжимается по отношению к столбцам: http://joxi.ru/Dr8QgLehMjyawm;;исправлено;;;;;;;;;;;;;;;;;;;;;;
20;Значек ввода меню надо отцентрировать по высоте и сделать больше по размеру: http://joxi.ru/Dr8QgLehMl8Kpm;Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
21;"При клике на ""выбор"" всплывает окошко ""test"" :http://joxi.ru/YmEXQ7eUM6yLxr
Нужно чтобы можно было отсортировать по выбранному статусу из выпадающего списка.";Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
22;Когда меняешь размеры окна браузера (тестировал в 3-х браузерах) то заголовок отрезается и возвращается в нормальное положение после обновления страницы: http://joxi.ru/L21D1YeU0yqN9m;;исправлено;;;;;;;;;;;;;;;;;;;;;;
22;выбор города при вводе адреса(создания заказа и в карточке заказа);Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
23;"Шрифт первой почты и телефона клиента синим жирным шрифтом как кнопки ""посмотреть на карте"" и ""добавить адрес"". Поля подписать (фоновая подпись) как ""основная почта"" и ""основной телефон""";Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
24;Одинакового темного цвета поля: http://joxi.ru/KAg1l39UKJppNm;;исправлено;;;;;;;;;;;;;;;;;;;;;;
25;"на уровне строк с номером заказа и статусом нам нужно в 2-ве строки разместить наименование ресурса, данные Менеджера и данные Поставщика. Надо попробовать ""поджать"" строки по высоте"" чтобы это нормально смотрелось.";Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
26;Почта клиента (вся строка) не видна Поставщику.;Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
27;"Поле ""Стоимость по прайсу"" переименовать в ""Стоимость услуг"".";;исправлено;;;;;;;;;;;;;;;;;;;;;;
28;Номер телефона должен по умолчанию начинаться с +7, а далее неограниченное кол-во цифр, так как у регионов их кол-во отличается. ;Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
29;при выборе даты доставки всплывает календарь: http://joxi.ru/DmB3okei4QVwY2;Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
30;"поменять в задачах ""дата выполнения"" на ""дата создания""";;исправлено;;;;;;;;;;;;;;;;;;;;;;
31;добавить форму создания заметки(текст+дата выполнения);Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
32;"поменять дизайн кнопки ""отказ"" (чёрный текст без фона)";;исправлено;;;;;;;;;;;;;;;;;;;;;;
33;выполненые падают вниз;Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
34;в мобильной версии открывать таблицу с заказами и карточку заказа как на пк;;исправлено;;;;;;;;;;;;;;;;;;;;;;
35;в моббильной версии отображать меню как на пк;;исправлено;;;;;;;;;;;;;;;;;;;;;;
36;меню категорий по умолчанию открыто при просмотре на компьютере;;исправлено;;;;;;;;;;;;;;;;;;;;;;
37;"Последнее сообщение в чате и в сообщения в КАРТОЧКЕ ЗАКАЗ красным фоном вместо зеленого. Строку ""новые сообщения"" удалить. http://joxi.ru/V2VzyVkCkzRwe2";Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
38;На некоторых мониторах (например 11 и 13) в карточке заказа сообщения в КАРТОЧКЕ ЗАКАЗА налазят друг на друга: http://joxi.ru/n2Y6N47HeQ9GxA;Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
